time,can1_AB_Gurtschloss_Reihe2_BF [],can1_AB_Gurtschloss_FA [],can1_AB_Gurtschloss_BF [],can1_AB_Gurtschloss_Reihe2_FA [],can1_AB_Gurtschloss_Reihe2_MI []
98.82187819480896,3,3,3,2,2
99.02163314819336,3,3,3,2,2
99.22363185882568,3,3,3,2,2
99.42262506484985,3,3,3,2,2
99.62237811088562,3,3,3,2,2
99.82262301445007,3,3,3,2,2
100.02262091636658,3,3,3,2,2
100.22338318824768,3,3,3,2,2
100.42262315750122,3,3,3,2,2
100.62263298034668,3,3,3,2,2
100.82225203514099,3,3,3,2,2
101.02288103103638,3,3,3,2,2
101.22380709648132,3,3,3,2,2
101.42274904251099,3,3,3,2,2
101.6227719783783,3,3,3,2,2
101.82299709320068,3,3,3,2,2
102.02263307571411,3,3,3,2,2
102.22313404083252,3,3,3,2,2
102.4227819442749,3,3,3,2,2
102.62275910377502,3,3,3,2,2
102.82275891304016,3,3,3,2,2
103.02275705337524,3,3,3,2,2
103.22387099266052,3,3,3,2,2
103.42344617843628,3,3,3,2,2
103.62301301956177,3,3,3,2,2
103.82288599014282,3,3,3,2,2
104.0240421295166,3,3,3,2,2
104.22553205490112,3,3,3,2,2
104.42300510406494,3,3,3,2,2
104.6231210231781,3,3,3,2,2
104.82355809211731,3,3,3,2,2
105.02312898635864,3,3,3,2,2
105.22427296638489,3,3,3,2,2
105.42326211929321,3,3,3,2,2
105.62338423728943,3,3,3,2,2
105.82338404655457,3,3,3,2,2
106.02389216423035,3,3,3,2,2
106.22451901435852,3,3,3,2,2
106.42351222038269,3,3,3,2,2
106.62339425086975,3,3,3,2,2
106.82350707054138,3,3,3,2,2
107.02366304397583,3,3,3,2,2
107.2246789932251,3,3,3,2,2
107.42363023757935,3,3,3,2,2
107.62468218803406,3,3,3,2,2
107.82379603385925,3,3,3,2,2
108.02488398551941,3,3,3,2,2
108.22488808631897,3,3,3,2,2
108.42387795448303,3,3,3,2,2
108.62417483329773,3,3,3,2,2
108.82400608062744,3,3,3,2,2
109.02401423454285,3,3,3,2,2
109.22513103485107,3,3,3,2,2
109.42413187026978,3,3,3,2,2
109.62414503097534,3,3,3,2,2
109.82413506507874,3,3,3,2,2
110.02425503730774,3,3,3,2,2
110.22539186477661,3,3,3,2,2
110.42438793182373,3,3,3,2,2
110.62438416481018,3,3,3,2,2
110.82438206672668,3,3,3,2,2
111.02451014518738,3,3,3,2,2
111.22553300857544,3,3,3,2,2
111.42451000213623,3,3,3,2,2
111.62566804885864,3,3,3,2,2
111.82466697692871,3,3,3,2,2
112.02479386329651,3,3,3,2,2
112.22575497627258,3,3,3,2,2
112.4256420135498,3,3,3,2,2
112.62493014335632,3,3,3,2,2
112.82592797279358,3,3,3,2,2
113.02492904663086,3,3,3,2,2
113.22666501998901,3,3,3,2,2
113.42515301704407,3,3,3,2,2
113.62549901008606,3,3,3,2,2
113.82550096511841,3,3,3,2,2
114.02614092826843,3,3,3,2,2
114.22656106948853,3,3,3,2,2
114.42604184150696,3,3,3,2,2
114.62576699256897,3,3,3,2,2
114.82624697685242,3,3,3,2,2
115.02617597579956,3,3,3,2,2
115.22679209709167,3,3,3,2,2
115.42562413215637,3,3,3,2,2
115.62615704536438,3,3,3,2,2
115.82615995407104,3,3,3,2,2
116.02616310119629,3,3,3,2,2
116.22712087631226,3,3,3,2,2
116.42674708366394,3,3,3,2,2
116.62562799453735,3,3,3,2,2
116.82674789428711,3,3,3,2,2
117.02666711807251,3,3,3,2,2
117.22674584388733,3,3,3,2,2
117.42679500579834,3,3,3,2,2
117.62599897384644,3,3,3,2,2
117.82668113708496,3,3,3,2,2
118.02677297592163,3,3,3,2,2
118.22790789604187,3,3,3,2,2
118.42662310600281,3,3,3,2,2
118.62649703025818,3,3,3,2,2
118.82642412185669,3,3,3,2,2
119.02716016769409,3,3,3,2,2
119.2280478477478,3,3,3,2,2
119.42704391479492,3,3,3,2,2
119.62704801559448,3,3,3,2,2
119.82705593109131,3,3,3,2,2
120.0269992351532,3,3,3,2,2
120.22801804542542,3,3,3,2,2
120.42701005935669,3,3,3,2,2
120.62703490257263,3,3,3,2,2
120.82701110839844,3,3,3,2,2
121.02726793289185,3,3,3,2,2
121.22800898551941,3,3,3,2,2
121.42704916000366,3,3,3,2,2
121.62699604034424,3,3,3,2,2
121.8271791934967,3,3,3,2,2
122.02700805664062,3,3,3,2,2
122.22880387306213,3,3,3,2,2
122.42799711227417,3,3,3,2,2
122.6272840499878,3,3,3,2,2
122.82724785804749,3,3,3,2,2
123.02741622924805,3,3,3,2,2
123.2283730506897,3,3,3,2,2
123.42737317085266,3,3,3,2,2
123.62788605690002,3,3,3,2,2
123.82750105857849,3,3,3,2,2
124.02751398086548,3,3,3,2,2
124.22963309288025,3,3,3,2,2
124.42792510986328,3,3,3,2,2
124.6285400390625,3,3,3,2,2
124.82838988304138,3,3,3,2,2
125.02817893028259,3,3,3,2,2
125.2300591468811,3,3,3,2,2
125.42800998687744,3,3,3,2,2
125.62803792953491,3,3,3,2,2
125.82900905609131,3,3,3,2,2
126.0280110836029,3,3,3,2,2
126.22913002967834,3,3,3,2,2
126.42818307876587,3,3,3,2,2
126.6281349658966,3,3,3,2,2
126.82830595970154,3,3,3,2,2
127.02887415885925,3,3,3,2,2
127.22964906692505,3,3,3,2,2
127.4288010597229,3,3,3,2,2
127.62874698638916,3,3,3,2,2
127.82880711555481,3,3,3,2,2
128.02875018119812,3,3,3,2,2
128.23050904273987,3,3,3,2,2
128.42879009246826,3,3,3,2,2
128.62976694107056,3,3,3,2,2
128.8288049697876,3,3,3,2,2
129.02880311012268,3,3,3,2,2
129.2298891544342,3,3,3,2,2
129.42975306510925,3,3,3,2,2
129.62992310523987,3,3,3,2,2
129.82989192008972,3,3,3,2,2
130.03004717826843,3,3,3,2,2
130.2300100326538,3,3,3,2,2
130.43001103401184,3,3,3,2,2
130.63005185127258,3,3,3,2,2
130.830176115036,3,3,3,2,2
131.03013801574707,3,3,3,2,2
131.23038506507874,3,3,3,2,2
131.43025588989258,3,3,3,2,2
131.63025212287903,3,3,3,2,2
131.8298840522766,3,3,3,2,2
132.03051805496216,3,3,3,2,2
132.23089003562927,3,3,3,2,2
132.43075585365295,3,3,3,2,2
132.63000917434692,3,3,3,2,2
132.83012890815735,3,3,3,2,2
133.03150391578674,3,3,3,2,2
133.23075699806213,3,3,3,2,2
133.43101716041565,3,3,3,2,2
133.63076400756836,3,3,3,2,2
133.8316309452057,3,3,3,2,2
134.03175401687622,3,3,3,2,2
134.23176097869873,3,3,3,2,2
134.4317581653595,3,3,3,2,2
134.6317572593689,3,3,3,2,2
134.8317608833313,3,3,3,2,2
135.03076100349426,3,3,3,2,2
135.23175406455994,3,3,3,2,2
135.4307668209076,3,3,3,2,2
135.6307590007782,3,3,3,2,2
135.83076786994934,3,3,3,2,2
136.03176093101501,3,3,3,2,2
136.23178100585938,3,3,3,2,2
136.43075895309448,3,3,3,2,2
136.63075590133667,3,3,3,2,2
136.83077216148376,3,3,3,2,2
137.03183007240295,3,3,3,2,2
137.23176193237305,3,3,3,2,2
137.43075799942017,3,3,3,2,2
137.63076400756836,3,3,3,2,2
137.83188009262085,3,3,3,2,2
138.03189206123352,3,3,3,2,2
138.2328760623932,3,3,3,2,2
138.43188905715942,3,3,3,2,2
138.63176608085632,3,3,3,2,2
138.831876039505,3,3,3,2,2
139.03187584877014,3,3,3,2,2
139.23288106918335,3,3,3,2,2
139.43188214302063,3,3,3,2,2
139.63188099861145,3,3,3,2,2
139.83189511299133,3,3,3,2,2
140.0318820476532,3,3,3,2,2
140.23287510871887,3,3,3,2,2
140.43189311027527,3,3,3,2,2
140.63188099861145,3,3,3,2,2
140.83188319206238,3,3,3,2,2
141.03188610076904,3,3,3,2,2
